Dense Human Habitat,Human Agriculture,Forests,Grass and Shrublands,"Rocky, Barren, or Snowy",Wetlands,Water Bodies
52,2582,277,73,25,713,73
53,2610,270,82,29,665,78
57,2576,257,84,18,719,86
64,2570,298,87,24,678,72
65,2552,269,97,13,720,83
49,2553,315,74,25,719,65
54,2605,285,91,25,667,76
56,2602,272,88,18,696,77
57,2569,262,82,27,709,89
57,2560,291,84,23,680,105
43,2565,291,90,23,696,92
53,2619,275,72,24,689,67
60,2587,280,81,30,677,88
56,2593,276,75,30,680,84
61,2580,273,82,23,711,69
45,2565,294,86,27,711,68
45,2594,306,78,25,669,80
60,2575,288,75,21,694,77
48,2610,253,90,33,693,78
52,2585,303,82,31,687,59
47,2602,280,76,28,691,70
61,2622,256,87,19,671,80
52,2557,290,67,31,712,92
58,2632,288,73,20,663,78
47,2600,262,97,13,699,85
53,2604,269,88,27,667,83
56,2592,284,88,20,681,85
63,2557,261,97,29,711,85
61,2603,272,61,24,692,85
61,2592,307,69,24,673,81
46,2584,298,72,17,705,70
46,2628,284,83,20,672,68
57,2553,277,86,29,707,95
62,2600,288,73,17,692,76
43,2634,298,88,18,647,67
55,2574,311,83,32,687,67
48,2615,274,78,29,681,70
75,2575,291,68,22,694,81
54,2595,300,73,25,676,72
70,2619,269,85,21,658,75
45,2669,247,72,16,675,79
69,2549,303,89,25,680,70
41,2634,277,70,21,673,78
47,2619,261,78,22,694,80
56,2580,277,78,25,713,81
48,2580,288,88,18,694,80
63,2580,285,67,25,679,96
52,2629,290,83,24,643,74
52,2588,259,67,26,729,79
46,2559,298,74,25,713,89
62,2543,301,70,17,729,78
58,2562,284,89,19,714,72
45,2594,303,83,19,672,77
53,2632,285,68,22,656,80
52,2589,286,84,22,672,93
49,2617,263,104,27,654,89
66,2596,291,84,13,677,73
46,2637,267,59,25,701,64
52,2603,260,85,25,686,88
50,2641,273,88,28,652,66
46,2566,303,90,21,692,74
67,2567,266,83,30,703,81
47,2566,303,70,25,716,74
58,2615,282,71,21,682,81
43,2650,276,75,30,668,57
65,2603,277,63,26,670,87
56,2592,311,85,24,644,80
64,2595,281,73,33,670,73
63,2556,284,82,17,716,75
48,2647,290,75,21,619,95
54,2611,299,68,25,665,76
43,2582,278,100,21,701,80
59,2622,265,79,23,681,69
62,2626,260,78,22,680,68
54,2555,300,87,19,665,112
41,2634,261,75,35,685,70
48,2639,250,83,25,685,70
51,2591,277,89,27,683,79
46,2604,297,87,20,664,83
42,2582,287,68,33,710,74
47,2613,251,76,26,699,76
